,hi,mr,bn,gu,pa,sa,ta,te,ml,ne
hi,0.0000,0.3575,0.3582,0.3516,0.3847,0.3926,0.3995,0.3958,0.3905,0.3908
mr,0.0000,0.0000,0.3073,0.2807,0.3263,0.2813,0.3694,0.3515,0.3500,0.2826
bn,0.0000,0.0000,0.0000,0.2274,0.3899,0.2198,0.4106,0.3906,0.3699,0.2509
gu,0.0000,0.0000,0.0000,0.0000,0.3685,0.2452,0.3962,0.3778,0.3658,0.2522
pa,0.0000,0.0000,0.0000,0.0000,0.0000,0.2993,0.2957,0.2927,0.3319,0.2513
sa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3553,0.3627,0.3617,0.2353
ta,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2924,0.3137,0.3207
te,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3355,0.3076
ml,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3291
ne,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000